Date,Month,Outlet ID,Outlet Name,City,Country,Terminal Type,Service,Product,Partner,Free PAX,Paid PAX,Total PAX,Unit Selling Price,Unit Cost,Currency,Total Revenue,Total Cost,Total Margin,Has Issue,Debug Reason
"2026-01-01","Jan 2026","104809728512","Primus Lounge","Indore","India","Domestic","Domestic Lounge","Domestic Lounge","Scapia",13.0000,0.0000,13.0000,800.0000,500.0000,"INR",10400.0000,6500.0000,3900.0000,"No",""
"2026-01-01","Jan 2026","114753146806","IRCTC Executive Lounge","Varanasi","India","","Railways Lounge","Railways Lounge","AU",6.0000,0.0000,6.0000,475.0000,312.0000,"INR",2850.0000,1872.0000,978.0000,"No",""
"2026-01-01","Jan 2026","114753146806","IRCTC Executive Lounge","Varanasi","India","","Railways Lounge","Railways Lounge","ICICI",21.0000,0.0000,21.0000,399.0000,312.0000,"INR",8379.0000,6552.0000,1827.0000,"No",""
"2026-01-01","Jan 2026","114753146806","IRCTC Executive Lounge","Varanasi","India","","Railways Lounge","Railways Lounge","IDFC Bank",7.0000,0.0000,7.0000,350.0000,312.0000,"INR",2450.0000,2184.0000,266.0000,"No",""
"2026-01-01","Jan 2026","114753146806","IRCTC Executive Lounge","Varanasi","India","","Railways Lounge","Railways Lounge","RBL",4.0000,0.0000,4.0000,460.0000,312.0000,"INR",1840.0000,1248.0000,592.0000,"No",""
"2026-01-01","Jan 2026","121648735971","Templehof Lounge","Berlin","Germany","International","Global Lounge","Global Lounge","ETT",1.0000,0.0000,1.0000,50.0000,74.5948,"USD",50.0000,74.5948,-24.5948,"No",""
"2026-01-01","Jan 2026","133716631217","Plaza Premium First","Hong Kong","China","International","Global Lounge","Global Lounge","ICICI",4.0000,1.0000,5.0000,23.9500,82.0000,"USD",119.7500,410.0000,-290.2500,"No",""
"2026-01-01","Jan 2026","135129770754","INEJ Digital Lounge","Mumbai","India","","Railways Lounge","Railways Lounge","ICICI",13.0000,0.0000,13.0000,530.0000,440.0000,"INR",6890.0000,5720.0000,1170.0000,"No",""
"2026-01-01","Jan 2026","135761566836","Aspire Lounge","Nairobi","Kenya","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,30.2500,57.0000,"USD",30.2500,57.0000,-26.7500,"No",""
"2026-01-01","Jan 2026","136794385197","Plaza Premium Lounge","Cebu","Philippines","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,28.1500,54.0000,"USD",28.1500,54.0000,-25.8500,"No",""
"2026-01-01","Jan 2026","158245061117","SH Premium Lounge Tan Son Nhat","Ho Chi Minh City","Vietnam","Domestic","Global Lounge","Global Lounge","ETT",2.0000,0.0000,2.0000,50.0000,43.5000,"USD",100.0000,87.0000,13.0000,"No",""
"2026-01-01","Jan 2026","158245061117","SH Premium Lounge Tan Son Nhat","Ho Chi Minh City","Vietnam","Domestic","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,28.1500,43.5000,"USD",28.1500,43.5000,-15.3500,"No",""
"2026-01-01","Jan 2026","160695062525","Aspire Lounge","Zurich","Switzerland","International","Global Lounge","Global Lounge","LoungePair",6.0000,0.0000,6.0000,79.0000,70.5490,"USD",474.0000,423.2939,50.7061,"No",""
"2026-01-01","Jan 2026","163350792004","Anadolujet Primeclass Lounge","Ankara","Turkey","Domestic","Global Lounge","Global Lounge","ETT",1.0000,0.0000,1.0000,50.0000,68.2751,"USD",50.0000,68.2751,-18.2751,"No",""
"2026-01-01","Jan 2026","195615815907","Coral Executive Lounge Beach","Phuket","Thailand","Domestic","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,36.0000,54.3248,"USD",36.0000,54.3248,-18.3248,"No",""
"2026-01-01","Jan 2026","215615569054","Amedee Maingard Lounge","Mauritius","Mauritius","International","Global Lounge","Global Lounge","ETT",2.0000,0.0000,2.0000,50.0000,67.0000,"USD",100.0000,134.0000,-34.0000,"No",""
"2026-01-01","Jan 2026","215615569054","Amedee Maingard Lounge","Mauritius","Mauritius","International","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,38.0000,67.0000,"USD",38.0000,67.0000,-29.0000,"No",""
"2026-01-01","Jan 2026","219737703089","Plaza Premium Lounge","Toronto","Canada","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,30.2500,52.0000,"USD",30.2500,52.0000,-21.7500,"No",""
"2026-01-01","Jan 2026","222251877025","Extime Business Lounge","Almaty","Kazakhstan","International","Global Lounge","Global Lounge","ETT",12.0000,0.0000,12.0000,50.0000,74.0400,"USD",600.0000,888.4800,-288.4800,"No",""
"2026-01-01","Jan 2026","222251877025","Extime Business Lounge","Almaty","Kazakhstan","International","Global Lounge","Global Lounge","ICICI",3.0000,2.0000,5.0000,29.2000,74.0400,"USD",146.0000,370.2000,-224.2000,"No",""
"2026-01-01","Jan 2026","222251877025","Extime Business Lounge","Almaty","Kazakhstan","International","Global Lounge","Global Lounge","IDFC Bank",3.0000,0.0000,3.0000,38.0000,74.0400,"USD",114.0000,222.1200,-108.1200,"No",""
"2026-01-01","Jan 2026","230025829410","Kepler Club","Kuala Lumpur","Malaysia","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,28.1500,56.9617,"USD",28.1500,56.9617,-28.8117,"No",""
"2026-01-01","Jan 2026","230025829410","Kepler Club","Kuala Lumpur","Malaysia","International","Global Lounge","Global Lounge","SBI",2.0000,0.0000,2.0000,34.0000,56.9617,"USD",68.0000,113.9234,-45.9234,"No",""
"2026-01-01","Jan 2026","235431604798","Plaza Premium First","Kuala Lumpur","Malaysia","International","Global Lounge","Global Lounge","ICICI",1.0000,1.0000,2.0000,28.1500,77.0000,"USD",56.3000,154.0000,-97.7000,"No",""
"2026-01-01","Jan 2026","239062224452","Premium Bank Lounge","Baku","Azerbaijan","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,30.2500,62.0000,"USD",30.2500,62.0000,-31.7500,"No",""
"2026-01-01","Jan 2026","239820972373","Vino Volo","Atlanta","United States","Domestic","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,37.6000,57.0000,"USD",37.6000,57.0000,-19.4000,"No",""
"2026-01-01","Jan 2026","242419263286","Sala Joan Olivert","Valencia","Spain","International","Global Lounge","Global Lounge","ETT",9.0000,0.0000,9.0000,50.0000,73.1009,"USD",450.0000,657.9078,-207.9078,"No",""
"2026-01-01","Jan 2026","243703300045","Marhaba Lounge","Singapore","Singapore","International","Global Lounge","Global Lounge","ICICI",4.0000,0.0000,4.0000,28.1500,59.1000,"USD",112.6000,236.4000,-123.8000,"No",""
"2026-01-01","Jan 2026","253426307444","SH Premium lounge Cam Ranh","Cam Ranh","Vietnam","Domestic","Global Lounge","Global Lounge","ETT",3.0000,0.0000,3.0000,50.0000,43.0000,"USD",150.0000,129.0000,21.0000,"No",""
"2026-01-01","Jan 2026","254737084573","Plaza Premium Lounge","George Town","Malaysia","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,28.1500,54.0000,"USD",28.1500,54.0000,-25.8500,"No",""
"2026-01-01","Jan 2026","256870621220","IGA Lounge","Istanbul","Turkey","Domestic","Global Lounge","Global Lounge","ETT",2.0000,0.0000,2.0000,50.0000,69.3986,"USD",100.0000,138.7973,-38.7973,"No",""
"2026-01-01","Jan 2026","261346372285","Sama Sama Express Klia","Kuala Lumpur","Malaysia","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,28.1500,55.6487,"USD",28.1500,55.6487,-27.4987,"No",""
"2026-01-01","Jan 2026","263780909165","Majan Lounge","Muscat","Oman","International","Global Lounge","Global Lounge","ICICI",11.0000,1.0000,12.0000,32.3500,58.4054,"USD",388.2000,700.8645,-312.6645,"No",""
"2026-01-01","Jan 2026","263780909165","Majan Lounge","Muscat","Oman","International","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,42.5000,58.4054,"USD",42.5000,58.4054,-15.9054,"No",""
"2026-01-01","Jan 2026","264468159360","Jasmine Halal Lounge","Ho Chi Minh City","Vietnam","International","Global Lounge","Global Lounge","IDFC Bank",1.0000,0.0000,1.0000,36.0000,59.5000,"USD",36.0000,59.5000,-23.5000,"No",""
"2026-01-01","Jan 2026","279522064673","Hayyak Lounge","Riyadh","Saudi Arabia","International","Global Lounge","Global Lounge","ICICI",1.0000,0.0000,1.0000,32.3500,57.0000,"USD",32.3500,57.0000,-24.6500,"No",""
"2026-01-01","Jan 2026","279522064673","Hayyak Lounge","Riyadh","Saudi Arabia","International","Global Lounge","Global Lounge","IDFC Bank",4.0000,0.0000,4.0000,42.5000,57.0000,"USD",170.0000,228.0000,-58.0000,"No",""
"2026-01-01","Jan 2026","282254748909","Changi Lounge","Singapore","Singapore","International","Global Lounge","Global Lounge","ICICI",3.0000,0.0000,3.0000,28.1500,52.5290,"USD",84.4500,157.5871,-73.1371,"No",""
"2026-01-01","Jan 2026","289749053015","Ambassador Transit Lounge","Singapore","Singapore","International","Global Lounge","Global Lounge","ICICI",2.0000,0.0000,2.0000,28.1500,54.4928,"USD",56.3000,108.9856,-52.6856,"No",""
"2026-01-01","Jan 2026","289800701096","Tallinn Airport LHV Lounge","Tallinn","Estonia","International","Global Lounge","Global Lounge","ETT",2.0000,0.0000,2.0000,50.0000,60.5891,"USD",100.0000,121.1783,-21.1783,"No",""
