txn_date_str,partner_name,outlet_id_long,outlet_name,outlet_city,outlet_country,service_name,product_name,total_pax,debug_reason
"2026-01-04","MakeMyTrip","303841535140","The Airr Lounge And Bar","Nagpur","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-04","MakeMyTrip","816839087929","080 International T2 Departure","Bengaluru","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-06","Fi","577270975132","Elysian Lounge GF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-06","MakeMyTrip","679081914664","Primus Lounge Domestic Departure","Chandigarh","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-07","Akasa","717601274705","Elysian Lounge FF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-09","AVIS","717601274705","Elysian Lounge FF Domestic Departure","Pune","India","Domestic Lounge","","2","Unknown partner — no master rate"
"2026-01-10","Akasa","577270975132","Elysian Lounge GF Domestic Departure","Pune","India","Domestic Lounge","","2","Unknown partner — no master rate"
"2026-01-10","Akasa","717601274705","Elysian Lounge FF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-14","Fi","881830457175","080 Domestic T2 Departure","Bengaluru","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-16","Akasa","717601274705","Elysian Lounge FF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-17","AVIS","817867641145","Premium Lounge","Vadodara","India","Domestic Lounge","","2","Unknown partner — no master rate"
"2026-01-24","Akasa","717601274705","Elysian Lounge FF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-28","Fi","382104374320","Bird Lounge","Calicut","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-29","Akasa","717601274705","Elysian Lounge FF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-01-30","Fi","382104374320","Bird Lounge","Calicut","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-02-02","Akasa","577270975132","Elysian Lounge GF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-02-04","Bandhan Bank","577270975132","Elysian Lounge GF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-02-09","Akasa","717601274705","Elysian Lounge FF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-02-11","AVIS","817867641145","Premium Lounge","Vadodara","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-02-20","Akasa","577270975132","Elysian Lounge GF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-02-22","Fi","679081914664","Primus Lounge Domestic Departure","Chandigarh","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-02-22","Akasa","717601274705","Elysian Lounge FF Domestic Departure","Pune","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-02-24","AVIS","701575592007","Bird Lounge","Bhubaneswar","India","Domestic Lounge","","4","Unknown partner — no master rate"
"2026-02-25","AVIS","817867641145","Premium Lounge","Vadodara","India","Domestic Lounge","","1","Unknown partner — no master rate"
"2026-02-28","Akasa","577270975132","Elysian Lounge GF Domestic Departure","Pune","India","Domestic Lounge","","2","Unknown partner — no master rate"
